us,red,ir,ratio,adcAvg,ratioSlope,AI
240478566,218,314,0.6943,1236,0.0048,55
240532566,218,308,0.7078,1225,0.0044,55
240587654,218,313,0.6965,1212,0.0045,55
240643568,218,322,0.677,1244,0.0048,55
240697566,216,312,0.6923,1233,0.0047,50
240751566,218,314,0.6943,1222,0.0046,55
240805566,215,326,0.6595,1232,0.0049,55
240860566,219,326,0.6718,1246,0.0049,55
240916568,222,309,0.7184,1227,0.0049,55
240971568,217,324,0.6698,1229,0.0049,55
241025576,217,326,0.6656,1244,0.0048,50
241080568,220,314,0.7006,1234,0.0049,50
241134566,217,312,0.6955,1220,0.005,50
241188566,216,321,0.6729,1228,0.0048,45
241244566,217,321,0.676,1245,0.0044,45
241299375,218,303,0.7195,1217,0.0049,50
241353598,216,316,0.6835,1221,0.0053,50
241407604,216,321,0.6729,1232,0.0043,50
241462598,214,319,0.6708,1242,0.0041,45
241518600,214,311,0.6881,1223,-0.0006,45
241572599,210,328,0.6402,1234,0.0001,40
241627601,216,325,0.6646,1246,0.0006,45
241681600,220,313,0.7029,1232,0.0005,45
241735602,219,318,0.6887,1225,0.0004,45
241789600,216,329,0.6565,1237,0.0007,40
241849568,106,318,0.3333,1229,0.0026,40
241903567,218,322,0.677,1226,0.0025,35
241958601,219,324,0.6759,1243,0.0025,35
242012602,220,320,0.6875,1242,0.0025,35
242067568,216,307,0.7036,1224,0.0025,40
242123603,212,322,0.6584,1228,0.0025,40
242177594,98,322,0.3043,1246,0.001,40
242231568,213,311,0.6849,1231,0.001,40
242285599,217,317,0.6845,1223,0.0011,35
242339597,212,327,0.6483,1237,0.0008,35
242393566,217,324,0.6698,1246,0.0003,40
242450566,211,303,0.6964,1226,0.0005,40
242504599,217,324,0.6698,1230,0.0004,45
242558566,219,329,0.6657,1245,0.0004,40
242612450,220,324,0.679,1246,0.0005,40
242666597,216,314,0.6879,1228,-0.0001,40
242723401,215,329,0.6535,1240,0,40
242777598,219,321,0.6822,1246,0.0002,45
242831596,217,312,0.6955,1230,0.0002,45
242887568,216,320,0.675,1228,0,45
242941566,217,324,0.6698,1236,-0.0017,45
242995566,216,318,0.6792,1243,-0.0017,45
243051567,210,308,0.6818,1225,-0.0018,50
243106567,218,332,0.6566,1239,-0.0017,45
243160594,215,324,0.6636,1246,-0.0018,45
243215568,215,309,0.6958,1229,-0.0017,50
243269568,215,318,0.6761,1226,-0.0003,50
243325396,217,334,0.6497,1247,-0.0005,50
243379570,219,321,0.6822,1243,-0.0005,50
243433566,218,316,0.6899,1228,-0.0001,50
243487594,217,325,0.6677,1231,-0.0002,50
243544568,222,333,0.6667,1247,-0.0005,50
243598566,217,310,0.7,1230,-0.0001,50
243654594,215,318,0.6761,1224,0,50
243708597,217,328,0.6616,1245,0.0003,50
243762646,68,165,0.4121,1233,0.0038,50
243816574,216,314,0.6879,1227,0.0034,45
243870566,212,322,0.6584,1228,0.0037,45
243924566,217,328,0.6616,1244,0.0039,50
243980597,215,315,0.6825,1235,0.0039,50
244034566,224,325,0.6892,1225,0.0038,50
244088597,214,326,0.6564,1237,0.0039,50
244142597,218,329,0.6626,1247,0.0039,50
244197566,220,317,0.694,1236,0.0039,50
244253568,216,321,0.6729,1229,0.0039,50
244307594,218,333,0.6547,1246,0.0038,50
244362572,218,320,0.6812,1243,0.0038,50
244416566,216,312,0.6923,1226,0.004,50
244470597,214,323,0.6625,1230,0.0039,50
244524566,216,323,0.6687,1243,0.0037,50
244580566,216,308,0.7013,1225,0.0041,55
244634566,215,315,0.6825,1222,0.0042,55
244689574,213,327,0.6514,1237,0.0036,55
244743574,217,323,0.6718,1246,0.0036,55
244798574,215,311,0.6913,1228,0.0031,55
